pip_value estimasi: 9.0 (override dengan --pipval)

Backtest: USDJPY | step=4 | trail=OFF
CSV: ../data/USDJPY_GMT+0_NO-DST_M15.csv
  139,666 candle M15 | 2020-01-01 22:00:00 s/d 2025-08-11 23:45:00
Estimasi 34,854 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=9,025 bars | D1=1,750 bars
    0.9% | bar=1,458/139,666 | trades=10 | equity=$1,062.39 | ETA=20.1min
    1.5% | bar=2,302/139,666 | trades=20 | equity=$1,099.86 | ETA=19.7min
    2.3% | bar=3,426/139,666 | trades=30 | equity=$1,175.31 | ETA=16.5min
    2.7% | bar=3,974/139,666 | trades=40 | equity=$1,215.89 | ETA=16.7min
    3.0% | bar=4,466/139,666 | trades=50 | equity=$1,191.27 | ETA=16.4min
    3.0% | bar=4,474/139,666 | trades=50 | equity=$1,191.27 | ETA=16.4min
    3.0% | bar=4,478/139,666 | trades=50 | equity=$1,191.27 | ETA=16.4min
    3.3% | bar=4,818/139,666 | trades=60 | equity=$1,161.72 | ETA=16.1min
    3.8% | bar=5,586/139,666 | trades=70 | equity=$1,267.02 | ETA=15.7min
    4.2% | bar=6,142/139,666 | trades=80 | equity=$1,327.53 | ETA=15.4min
    4.2% | bar=6,146/139,666 | trades=80 | equity=$1,327.53 | ETA=15.4min
    4.2% | bar=6,150/139,666 | trades=80 | equity=$1,327.53 | ETA=15.4min
    4.2% | bar=6,170/139,666 | trades=80 | equity=$1,327.53 | ETA=15.5min
    5.0% | bar=7,262/139,666 | trades=90 | equity=$1,308.88 | ETA=15.8min
    5.6% | bar=8,126/139,666 | trades=100 | equity=$1,293.82 | ETA=15.9min
    5.7% | bar=8,202/139,666 | trades=100 | equity=$1,293.82 | ETA=16.0min
    5.7% | bar=8,206/139,666 | trades=100 | equity=$1,293.82 | ETA=16.0min
    5.7% | bar=8,226/139,666 | trades=100 | equity=$1,293.82 | ETA=16.0min
    6.3% | bar=9,018/139,666 | trades=110 | equity=$1,354.09 | ETA=16.2min
    6.3% | bar=9,022/139,666 | trades=110 | equity=$1,354.09 | ETA=16.2min
    6.3% | bar=9,026/139,666 | trades=110 | equity=$1,354.09 | ETA=16.2min
    6.8% | bar=9,794/139,666 | trades=120 | equity=$1,374.88 | ETA=16.4min
    7.2% | bar=10,334/139,666 | trades=130 | equity=$1,397.66 | ETA=16.4min
    7.7% | bar=11,042/139,666 | trades=140 | equity=$1,420.69 | ETA=16.3min
    7.7% | bar=11,046/139,666 | trades=140 | equity=$1,420.69 | ETA=16.3min
    8.4% | bar=12,006/139,666 | trades=150 | equity=$1,475.05 | ETA=16.0min
    9.7% | bar=13,710/139,666 | trades=160 | equity=$1,373.23 | ETA=16.1min
   10.1% | bar=14,310/139,666 | trades=170 | equity=$1,504.69 | ETA=15.8min
   10.1% | bar=14,318/139,666 | trades=170 | equity=$1,504.69 | ETA=15.8min
   10.1% | bar=14,330/139,666 | trades=170 | equity=$1,504.69 | ETA=15.8min
   10.1% | bar=14,362/139,666 | trades=170 | equity=$1,504.69 | ETA=15.8min
   10.9% | bar=15,454/139,666 | trades=180 | equity=$1,553.21 | ETA=15.5min
   11.4% | bar=16,178/139,666 | trades=190 | equity=$1,485.59 | ETA=15.5min
   12.4% | bar=17,506/139,666 | trades=200 | equity=$1,504.20 | ETA=15.4min
   12.4% | bar=17,510/139,666 | trades=200 | equity=$1,504.20 | ETA=15.4min
   12.4% | bar=17,518/139,666 | trades=200 | equity=$1,504.20 | ETA=15.4min
   12.4% | bar=17,594/139,666 | trades=200 | equity=$1,504.20 | ETA=15.4min
   12.4% | bar=17,598/139,666 | trades=200 | equity=$1,504.20 | ETA=15.4min
   12.4% | bar=17,606/139,666 | trades=200 | equity=$1,504.20 | ETA=15.4min
   12.5% | bar=17,610/139,666 | trades=200 | equity=$1,504.20 | ETA=15.4min
   13.1% | bar=18,550/139,666 | trades=210 | equity=$1,396.83 | ETA=15.3min
   14.0% | bar=19,802/139,666 | trades=220 | equity=$1,331.76 | ETA=15.1min
   14.0% | bar=19,810/139,666 | trades=220 | equity=$1,331.76 | ETA=15.1min
   14.0% | bar=19,818/139,666 | trades=220 | equity=$1,331.76 | ETA=15.1min
   14.0% | bar=19,826/139,666 | trades=220 | equity=$1,331.76 | ETA=15.1min
   14.0% | bar=19,834/139,666 | trades=220 | equity=$1,331.76 | ETA=15.1min
   15.1% | bar=21,334/139,666 | trades=230 | equity=$1,275.36 | ETA=14.7min
   16.7% | bar=23,494/139,666 | trades=250 | equity=$1,136.47 | ETA=14.4min
   17.3% | bar=24,354/139,666 | trades=260 | equity=$1,119.75 | ETA=14.3min
   18.0% | bar=25,374/139,666 | trades=270 | equity=$1,133.59 | ETA=14.2min
   19.0% | bar=26,686/139,666 | trades=280 | equity=$1,140.76 | ETA=14.0min
   19.9% | bar=27,930/139,666 | trades=290 | equity=$1,181.48 | ETA=13.6min
   19.9% | bar=27,934/139,666 | trades=290 | equity=$1,181.48 | ETA=13.6min
   19.9% | bar=27,938/139,666 | trades=290 | equity=$1,181.48 | ETA=13.6min
   20.3% | bar=28,582/139,666 | trades=300 | equity=$1,233.03 | ETA=13.5min
   20.3% | bar=28,586/139,666 | trades=300 | equity=$1,233.03 | ETA=13.5min
   21.0% | bar=29,518/139,666 | trades=310 | equity=$1,402.19 | ETA=13.4min
   21.0% | bar=29,522/139,666 | trades=310 | equity=$1,402.19 | ETA=13.4min
   21.0% | bar=29,578/139,666 | trades=310 | equity=$1,402.19 | ETA=13.4min
   21.8% | bar=30,618/139,666 | trades=320 | equity=$1,423.65 | ETA=13.2min
   22.3% | bar=31,294/139,666 | trades=330 | equity=$1,482.22 | ETA=13.0min
   22.9% | bar=32,110/139,666 | trades=340 | equity=$1,539.77 | ETA=12.9min
   22.9% | bar=32,114/139,666 | trades=340 | equity=$1,539.77 | ETA=12.9min
   23.5% | bar=33,042/139,666 | trades=350 | equity=$1,543.98 | ETA=12.8min
   24.4% | bar=34,334/139,666 | trades=360 | equity=$1,434.45 | ETA=12.6min
   25.0% | bar=35,106/139,666 | trades=370 | equity=$1,485.69 | ETA=12.5min
   25.8% | bar=36,266/139,666 | trades=380 | equity=$1,468.19 | ETA=12.4min
   25.8% | bar=36,270/139,666 | trades=380 | equity=$1,468.19 | ETA=12.4min
   25.8% | bar=36,274/139,666 | trades=380 | equity=$1,468.19 | ETA=12.4min
   25.8% | bar=36,278/139,666 | trades=380 | equity=$1,468.19 | ETA=12.4min
   25.9% | bar=36,318/139,666 | trades=380 | equity=$1,468.19 | ETA=12.4min
   26.5% | bar=37,186/139,666 | trades=390 | equity=$1,442.62 | ETA=12.3min
   26.5% | bar=37,190/139,666 | trades=390 | equity=$1,442.62 | ETA=12.3min
   27.2% | bar=38,154/139,666 | trades=400 | equity=$1,413.44 | ETA=12.1min
   27.2% | bar=38,206/139,666 | trades=400 | equity=$1,413.44 | ETA=12.1min
   27.2% | bar=38,214/139,666 | trades=400 | equity=$1,413.44 | ETA=12.1min
   27.2% | bar=38,218/139,666 | trades=400 | equity=$1,413.44 | ETA=12.1min
   27.3% | bar=38,286/139,666 | trades=400 | equity=$1,413.44 | ETA=12.1min
   27.9% | bar=39,150/139,666 | trades=410 | equity=$1,478.66 | ETA=12.0min
   28.6% | bar=40,070/139,666 | trades=420 | equity=$1,536.32 | ETA=11.9min
   28.6% | bar=40,074/139,666 | trades=420 | equity=$1,536.32 | ETA=11.9min
   30.0% | bar=42,138/139,666 | trades=430 | equity=$1,665.05 | ETA=11.6min
   30.0% | bar=42,142/139,666 | trades=430 | equity=$1,665.05 | ETA=11.6min
   30.1% | bar=42,146/139,666 | trades=430 | equity=$1,665.05 | ETA=11.6min
   30.1% | bar=42,154/139,666 | trades=430 | equity=$1,665.05 | ETA=11.6min
   30.1% | bar=42,186/139,666 | trades=430 | equity=$1,665.05 | ETA=11.6min
   30.9% | bar=43,310/139,666 | trades=440 | equity=$1,631.59 | ETA=11.5min
   31.3% | bar=43,922/139,666 | trades=450 | equity=$1,608.32 | ETA=11.4min
   31.3% | bar=43,950/139,666 | trades=450 | equity=$1,608.32 | ETA=11.4min
   32.0% | bar=44,874/139,666 | trades=460 | equity=$1,670.76 | ETA=11.2min
   32.8% | bar=45,942/139,666 | trades=470 | equity=$1,691.06 | ETA=11.1min
   33.2% | bar=46,498/139,666 | trades=480 | equity=$1,654.88 | ETA=11.0min
   33.7% | bar=47,238/139,666 | trades=490 | equity=$1,724.85 | ETA=10.9min
   34.2% | bar=47,914/139,666 | trades=500 | equity=$1,650.70 | ETA=10.8min
   34.7% | bar=48,674/139,666 | trades=510 | equity=$1,583.82 | ETA=10.7min
   34.7% | bar=48,678/139,666 | trades=510 | equity=$1,583.82 | ETA=10.7min
   34.8% | bar=48,746/139,666 | trades=510 | equity=$1,583.82 | ETA=10.7min
   34.8% | bar=48,750/139,666 | trades=510 | equity=$1,583.82 | ETA=10.7min
   35.6% | bar=49,826/139,666 | trades=520 | equity=$1,644.75 | ETA=10.6min
   36.2% | bar=50,746/139,666 | trades=530 | equity=$1,606.38 | ETA=10.5min
   36.7% | bar=51,474/139,666 | trades=540 | equity=$1,626.89 | ETA=10.4min
   36.7% | bar=51,478/139,666 | trades=540 | equity=$1,626.89 | ETA=10.4min
   36.7% | bar=51,482/139,666 | trades=540 | equity=$1,626.89 | ETA=10.4min
   36.8% | bar=51,486/139,666 | trades=540 | equity=$1,626.89 | ETA=10.4min
   36.8% | bar=51,518/139,666 | trades=540 | equity=$1,626.89 | ETA=10.4min
   37.4% | bar=52,374/139,666 | trades=550 | equity=$1,748.75 | ETA=10.3min
   38.3% | bar=53,606/139,666 | trades=560 | equity=$1,675.25 | ETA=10.1min
   38.9% | bar=54,450/139,666 | trades=570 | equity=$1,754.26 | ETA=10.0min
   39.3% | bar=55,062/139,666 | trades=580 | equity=$1,913.81 | ETA=9.9min
   39.8% | bar=55,798/139,666 | trades=590 | equity=$2,025.93 | ETA=9.9min
   40.3% | bar=56,382/139,666 | trades=600 | equity=$2,249.29 | ETA=9.8min
   40.3% | bar=56,386/139,666 | trades=600 | equity=$2,249.29 | ETA=9.8min
   40.3% | bar=56,398/139,666 | trades=600 | equity=$2,249.29 | ETA=9.8min
   40.3% | bar=56,402/139,666 | trades=600 | equity=$2,249.29 | ETA=9.8min
