pip_value estimasi: 9.0 (override dengan --pipval)

Backtest: USDJPY | step=4 | trail=OFF
CSV: ../data/USDJPY_GMT+0_NO-DST_M15.csv
  139,666 candle M15 | 2020-01-01 22:00:00 s/d 2025-08-11 23:45:00
Estimasi 34,854 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=9,025 bars | D1=1,750 bars
    0.8% | bar=1,334/139,666 | trades=10 | equity=$1,039.29 | ETA=16.5min
    0.8% | bar=1,338/139,666 | trades=10 | equity=$1,039.29 | ETA=16.5min
    0.8% | bar=1,342/139,666 | trades=10 | equity=$1,039.29 | ETA=16.5min
    1.3% | bar=1,994/139,666 | trades=20 | equity=$1,023.11 | ETA=17.1min
    1.9% | bar=2,890/139,666 | trades=30 | equity=$1,063.37 | ETA=13.6min
    1.9% | bar=2,922/139,666 | trades=30 | equity=$1,063.37 | ETA=13.6min
    2.3% | bar=3,526/139,666 | trades=40 | equity=$1,105.43 | ETA=13.9min
    2.4% | bar=3,530/139,666 | trades=40 | equity=$1,105.43 | ETA=13.9min
    2.4% | bar=3,534/139,666 | trades=40 | equity=$1,105.43 | ETA=13.9min
    2.4% | bar=3,574/139,666 | trades=40 | equity=$1,105.43 | ETA=14.0min
    2.7% | bar=4,006/139,666 | trades=50 | equity=$1,144.44 | ETA=13.8min
    3.0% | bar=4,390/139,666 | trades=60 | equity=$1,102.31 | ETA=13.8min
    3.4% | bar=4,930/139,666 | trades=70 | equity=$1,105.86 | ETA=13.7min
    3.4% | bar=4,942/139,666 | trades=70 | equity=$1,105.86 | ETA=13.8min
    3.4% | bar=4,946/139,666 | trades=70 | equity=$1,105.86 | ETA=13.8min
    3.4% | bar=4,950/139,666 | trades=70 | equity=$1,105.86 | ETA=13.8min
    3.7% | bar=5,442/139,666 | trades=80 | equity=$1,111.81 | ETA=13.8min
    3.7% | bar=5,446/139,666 | trades=80 | equity=$1,111.81 | ETA=13.8min
    3.7% | bar=5,454/139,666 | trades=80 | equity=$1,111.81 | ETA=13.8min
    3.7% | bar=5,474/139,666 | trades=80 | equity=$1,111.81 | ETA=13.8min
    3.7% | bar=5,478/139,666 | trades=80 | equity=$1,111.81 | ETA=13.8min
    3.8% | bar=5,482/139,666 | trades=80 | equity=$1,111.81 | ETA=13.8min
    3.8% | bar=5,486/139,666 | trades=80 | equity=$1,111.81 | ETA=13.8min
    3.8% | bar=5,490/139,666 | trades=80 | equity=$1,111.81 | ETA=13.8min
    3.8% | bar=5,534/139,666 | trades=80 | equity=$1,111.81 | ETA=13.9min
    3.8% | bar=5,562/139,666 | trades=80 | equity=$1,111.81 | ETA=13.9min
    3.8% | bar=5,570/139,666 | trades=80 | equity=$1,111.81 | ETA=13.9min
    3.8% | bar=5,574/139,666 | trades=80 | equity=$1,111.81 | ETA=13.9min
    3.8% | bar=5,586/139,666 | trades=80 | equity=$1,111.81 | ETA=13.9min
    4.1% | bar=5,974/139,666 | trades=90 | equity=$1,223.95 | ETA=14.1min
    4.1% | bar=5,978/139,666 | trades=90 | equity=$1,223.95 | ETA=14.1min
    4.1% | bar=5,982/139,666 | trades=90 | equity=$1,223.95 | ETA=14.1min
    4.5% | bar=6,502/139,666 | trades=100 | equity=$1,275.06 | ETA=14.1min
    4.9% | bar=7,114/139,666 | trades=110 | equity=$1,294.22 | ETA=14.2min
    5.0% | bar=7,190/139,666 | trades=110 | equity=$1,294.22 | ETA=14.3min
    5.4% | bar=7,790/139,666 | trades=120 | equity=$1,340.71 | ETA=14.3min
    5.7% | bar=8,258/139,666 | trades=130 | equity=$1,328.05 | ETA=14.4min
    6.2% | bar=8,886/139,666 | trades=140 | equity=$1,439.35 | ETA=14.4min
    6.5% | bar=9,270/139,666 | trades=150 | equity=$1,458.86 | ETA=14.4min
    6.5% | bar=9,282/139,666 | trades=150 | equity=$1,458.86 | ETA=14.4min
    6.5% | bar=9,310/139,666 | trades=150 | equity=$1,458.86 | ETA=14.5min
    6.9% | bar=9,830/139,666 | trades=160 | equity=$1,449.13 | ETA=14.5min
    7.3% | bar=10,422/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,426/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,446/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,450/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,454/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,458/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,466/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,470/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,474/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,478/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.3% | bar=10,486/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.4% | bar=10,506/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.4% | bar=10,514/139,666 | trades=170 | equity=$1,468.40 | ETA=14.4min
    7.4% | bar=10,530/139,666 | trades=170 | equity=$1,468.40 | ETA=14.5min
    7.4% | bar=10,534/139,666 | trades=170 | equity=$1,468.40 | ETA=14.5min
    7.4% | bar=10,538/139,666 | trades=170 | equity=$1,468.40 | ETA=14.5min
    7.4% | bar=10,542/139,666 | trades=170 | equity=$1,468.40 | ETA=14.5min
    7.4% | bar=10,566/139,666 | trades=170 | equity=$1,468.40 | ETA=14.5min
    7.4% | bar=10,582/139,666 | trades=170 | equity=$1,468.40 | ETA=14.5min
    7.9% | bar=11,274/139,666 | trades=180 | equity=$1,480.09 | ETA=14.5min
    8.5% | bar=12,122/139,666 | trades=190 | equity=$1,525.37 | ETA=14.4min
    9.4% | bar=13,406/139,666 | trades=200 | equity=$1,486.43 | ETA=14.4min
    9.4% | bar=13,410/139,666 | trades=200 | equity=$1,486.43 | ETA=14.4min
    9.5% | bar=13,534/139,666 | trades=200 | equity=$1,486.43 | ETA=14.4min
   10.0% | bar=14,246/139,666 | trades=210 | equity=$1,527.30 | ETA=14.3min
   10.0% | bar=14,250/139,666 | trades=210 | equity=$1,527.30 | ETA=14.3min
   10.1% | bar=14,266/139,666 | trades=210 | equity=$1,527.30 | ETA=14.3min
   10.1% | bar=14,286/139,666 | trades=210 | equity=$1,527.30 | ETA=14.3min
   10.7% | bar=15,126/139,666 | trades=220 | equity=$1,568.31 | ETA=14.1min
   11.0% | bar=15,626/139,666 | trades=230 | equity=$1,642.48 | ETA=14.1min
   11.0% | bar=15,630/139,666 | trades=230 | equity=$1,642.48 | ETA=14.1min
   11.0% | bar=15,634/139,666 | trades=230 | equity=$1,642.48 | ETA=14.1min
   11.1% | bar=15,682/139,666 | trades=230 | equity=$1,642.48 | ETA=14.1min
   11.5% | bar=16,282/139,666 | trades=240 | equity=$1,568.28 | ETA=14.0min
   11.5% | bar=16,286/139,666 | trades=240 | equity=$1,568.28 | ETA=14.0min
   11.5% | bar=16,290/139,666 | trades=240 | equity=$1,568.28 | ETA=14.0min
   11.5% | bar=16,294/139,666 | trades=240 | equity=$1,568.28 | ETA=14.0min
   11.5% | bar=16,298/139,666 | trades=240 | equity=$1,568.28 | ETA=14.0min
   11.5% | bar=16,302/139,666 | trades=240 | equity=$1,568.28 | ETA=14.0min
   11.5% | bar=16,322/139,666 | trades=240 | equity=$1,568.28 | ETA=14.0min
   11.5% | bar=16,334/139,666 | trades=240 | equity=$1,568.28 | ETA=14.0min
