pip_value estimasi: 9.0 (override dengan --pipval)

Backtest: USDJPY | step=4 | trail=OFF
CSV: ../data/USDJPY_GMT+0_NO-DST_M15.csv
  139,666 candle M15 | 2020-01-01 22:00:00 s/d 2025-08-11 23:45:00
Estimasi 34,854 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=9,025 bars | D1=1,750 bars
    0.9% | bar=1,458/139,666 | trades=10 | equity=$1,040.04 | ETA=15.5min
    1.5% | bar=2,302/139,666 | trades=20 | equity=$1,078.29 | ETA=15.0min
    2.3% | bar=3,442/139,666 | trades=30 | equity=$1,146.29 | ETA=12.6min
    2.3% | bar=3,446/139,666 | trades=30 | equity=$1,146.29 | ETA=12.6min
    2.3% | bar=3,450/139,666 | trades=30 | equity=$1,146.29 | ETA=12.6min
    2.3% | bar=3,454/139,666 | trades=30 | equity=$1,146.29 | ETA=12.6min
    2.3% | bar=3,514/139,666 | trades=30 | equity=$1,146.29 | ETA=12.7min
    2.3% | bar=3,518/139,666 | trades=30 | equity=$1,146.29 | ETA=12.7min
    2.7% | bar=4,034/139,666 | trades=40 | equity=$1,158.60 | ETA=12.6min
    3.2% | bar=4,682/139,666 | trades=50 | equity=$1,180.70 | ETA=12.3min
    3.9% | bar=5,694/139,666 | trades=60 | equity=$1,200.09 | ETA=12.6min
    4.6% | bar=6,658/139,666 | trades=70 | equity=$1,296.97 | ETA=12.7min
    5.2% | bar=7,438/139,666 | trades=80 | equity=$1,279.62 | ETA=12.7min
    5.8% | bar=8,306/139,666 | trades=90 | equity=$1,338.38 | ETA=12.7min
    6.0% | bar=8,670/139,666 | trades=90 | equity=$1,338.38 | ETA=12.8min
    6.4% | bar=9,166/139,666 | trades=100 | equity=$1,322.98 | ETA=12.9min
    6.4% | bar=9,174/139,666 | trades=100 | equity=$1,322.98 | ETA=12.9min
    6.4% | bar=9,178/139,666 | trades=100 | equity=$1,322.98 | ETA=12.9min
    7.1% | bar=10,162/139,666 | trades=110 | equity=$1,347.87 | ETA=12.9min
    7.5% | bar=10,730/139,666 | trades=120 | equity=$1,368.18 | ETA=12.8min
    8.2% | bar=11,750/139,666 | trades=130 | equity=$1,427.96 | ETA=12.8min
    9.2% | bar=13,090/139,666 | trades=140 | equity=$1,368.23 | ETA=12.5min
    9.2% | bar=13,102/139,666 | trades=140 | equity=$1,368.23 | ETA=12.5min
    9.2% | bar=13,106/139,666 | trades=140 | equity=$1,368.23 | ETA=12.5min
    9.2% | bar=13,110/139,666 | trades=140 | equity=$1,368.23 | ETA=12.5min
    9.4% | bar=13,366/139,666 | trades=140 | equity=$1,368.23 | ETA=12.6min
   10.0% | bar=14,250/139,666 | trades=150 | equity=$1,426.10 | ETA=12.5min
   10.8% | bar=15,334/139,666 | trades=160 | equity=$1,432.07 | ETA=12.2min
   11.3% | bar=16,034/139,666 | trades=170 | equity=$1,488.75 | ETA=12.2min
   11.3% | bar=16,042/139,666 | trades=170 | equity=$1,488.75 | ETA=12.2min
   11.3% | bar=16,046/139,666 | trades=170 | equity=$1,488.75 | ETA=12.2min
   11.4% | bar=16,086/139,666 | trades=170 | equity=$1,488.75 | ETA=12.2min
   11.4% | bar=16,098/139,666 | trades=170 | equity=$1,488.75 | ETA=12.2min
   11.4% | bar=16,102/139,666 | trades=170 | equity=$1,488.75 | ETA=12.2min
   11.4% | bar=16,106/139,666 | trades=170 | equity=$1,488.75 | ETA=12.2min
   11.4% | bar=16,138/139,666 | trades=170 | equity=$1,488.75 | ETA=12.2min
   12.3% | bar=17,338/139,666 | trades=180 | equity=$1,505.65 | ETA=12.0min
   12.3% | bar=17,342/139,666 | trades=180 | equity=$1,505.65 | ETA=12.0min
   12.3% | bar=17,418/139,666 | trades=180 | equity=$1,505.65 | ETA=12.0min
   12.3% | bar=17,430/139,666 | trades=180 | equity=$1,505.65 | ETA=12.0min
   12.9% | bar=18,266/139,666 | trades=190 | equity=$1,398.11 | ETA=12.0min
   12.9% | bar=18,274/139,666 | trades=190 | equity=$1,398.11 | ETA=12.0min
   13.0% | bar=18,362/139,666 | trades=190 | equity=$1,398.11 | ETA=12.0min
   13.1% | bar=18,482/139,666 | trades=190 | equity=$1,398.11 | ETA=12.0min
   14.0% | bar=19,730/139,666 | trades=200 | equity=$1,333.27 | ETA=11.8min
   15.0% | bar=21,158/139,666 | trades=210 | equity=$1,278.34 | ETA=11.7min
   15.1% | bar=21,238/139,666 | trades=210 | equity=$1,278.34 | ETA=11.7min
   15.1% | bar=21,246/139,666 | trades=210 | equity=$1,278.34 | ETA=11.7min
   15.7% | bar=22,126/139,666 | trades=220 | equity=$1,191.16 | ETA=11.4min
   16.5% | bar=23,290/139,666 | trades=230 | equity=$1,109.88 | ETA=11.4min
   17.3% | bar=24,394/139,666 | trades=240 | equity=$1,124.06 | ETA=11.4min
   18.1% | bar=25,422/139,666 | trades=250 | equity=$1,166.46 | ETA=11.3min
   19.2% | bar=26,966/139,666 | trades=260 | equity=$1,174.62 | ETA=11.2min
   19.8% | bar=27,850/139,666 | trades=270 | equity=$1,216.71 | ETA=11.0min
   19.8% | bar=27,854/139,666 | trades=270 | equity=$1,216.71 | ETA=11.0min
   19.8% | bar=27,858/139,666 | trades=270 | equity=$1,216.71 | ETA=11.0min
   19.9% | bar=27,930/139,666 | trades=270 | equity=$1,216.71 | ETA=11.0min
   19.9% | bar=27,934/139,666 | trades=270 | equity=$1,216.71 | ETA=11.0min
   19.9% | bar=27,938/139,666 | trades=270 | equity=$1,216.71 | ETA=11.0min
   20.5% | bar=28,870/139,666 | trades=280 | equity=$1,301.92 | ETA=10.9min
   20.5% | bar=28,878/139,666 | trades=280 | equity=$1,301.92 | ETA=10.9min
   21.2% | bar=29,782/139,666 | trades=290 | equity=$1,523.43 | ETA=10.8min
   21.9% | bar=30,738/139,666 | trades=300 | equity=$1,455.19 | ETA=10.6min
   22.5% | bar=31,630/139,666 | trades=310 | equity=$1,514.73 | ETA=10.5min
   23.1% | bar=32,458/139,666 | trades=320 | equity=$1,528.86 | ETA=10.4min
   23.7% | bar=33,350/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.7% | bar=33,358/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.8% | bar=33,362/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.8% | bar=33,386/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.8% | bar=33,394/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.8% | bar=33,402/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.8% | bar=33,486/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.9% | bar=33,606/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.9% | bar=33,610/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.9% | bar=33,614/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   23.9% | bar=33,618/139,666 | trades=330 | equity=$1,501.65 | ETA=10.3min
   24.8% | bar=34,846/139,666 | trades=340 | equity=$1,439.00 | ETA=10.2min
   25.7% | bar=36,022/139,666 | trades=350 | equity=$1,461.55 | ETA=10.1min
   26.3% | bar=36,854/139,666 | trades=360 | equity=$1,440.08 | ETA=10.0min
   27.0% | bar=37,846/139,666 | trades=370 | equity=$1,411.69 | ETA=9.8min
   27.8% | bar=38,978/139,666 | trades=380 | equity=$1,471.15 | ETA=9.8min
   28.2% | bar=39,570/139,666 | trades=390 | equity=$1,533.42 | ETA=9.7min
   29.7% | bar=41,678/139,666 | trades=400 | equity=$1,586.98 | ETA=9.6min
   30.6% | bar=42,898/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.6% | bar=42,902/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.6% | bar=42,906/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.6% | bar=42,974/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.7% | bar=42,986/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.7% | bar=42,990/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.7% | bar=43,014/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.7% | bar=43,018/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.7% | bar=43,114/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.7% | bar=43,118/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.8% | bar=43,122/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.8% | bar=43,126/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.8% | bar=43,130/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   30.8% | bar=43,158/139,666 | trades=410 | equity=$1,638.48 | ETA=9.4min
   31.1% | bar=43,542/139,666 | trades=420 | equity=$1,619.34 | ETA=9.4min
   31.6% | bar=44,370/139,666 | trades=430 | equity=$1,638.81 | ETA=9.4min
   31.6% | bar=44,374/139,666 | trades=430 | equity=$1,638.81 | ETA=9.4min
   32.4% | bar=45,362/139,666 | trades=440 | equity=$1,707.12 | ETA=9.3min
   32.4% | bar=45,366/139,666 | trades=440 | equity=$1,707.12 | ETA=9.3min
   32.4% | bar=45,378/139,666 | trades=440 | equity=$1,707.12 | ETA=9.3min
   32.4% | bar=45,382/139,666 | trades=440 | equity=$1,707.12 | ETA=9.3min
   32.4% | bar=45,478/139,666 | trades=440 | equity=$1,707.12 | ETA=9.2min
   33.1% | bar=46,342/139,666 | trades=450 | equity=$1,628.68 | ETA=9.2min
   34.0% | bar=47,598/139,666 | trades=470 | equity=$1,616.89 | ETA=9.0min
   34.0% | bar=47,610/139,666 | trades=470 | equity=$1,616.89 | ETA=9.0min
   34.0% | bar=47,614/139,666 | trades=470 | equity=$1,616.89 | ETA=9.0min
   34.5% | bar=48,378/139,666 | trades=480 | equity=$1,594.04 | ETA=8.9min
   34.5% | bar=48,382/139,666 | trades=480 | equity=$1,594.04 | ETA=8.9min
   34.5% | bar=48,386/139,666 | trades=480 | equity=$1,594.04 | ETA=8.9min
   34.6% | bar=48,490/139,666 | trades=480 | equity=$1,594.04 | ETA=8.9min
   35.6% | bar=49,814/139,666 | trades=490 | equity=$1,615.30 | ETA=8.8min
   36.2% | bar=50,746/139,666 | trades=500 | equity=$1,500.39 | ETA=8.7min
   36.8% | bar=51,578/139,666 | trades=510 | equity=$1,519.68 | ETA=8.6min
   37.4% | bar=52,390/139,666 | trades=520 | equity=$1,679.85 | ETA=8.5min
   37.4% | bar=52,410/139,666 | trades=520 | equity=$1,679.85 | ETA=8.5min
   37.5% | bar=52,598/139,666 | trades=520 | equity=$1,679.85 | ETA=8.5min
   37.6% | bar=52,602/139,666 | trades=520 | equity=$1,679.85 | ETA=8.5min
   37.6% | bar=52,666/139,666 | trades=520 | equity=$1,679.85 | ETA=8.5min
   38.6% | bar=54,054/139,666 | trades=530 | equity=$1,559.84 | ETA=8.3min
   38.9% | bar=54,546/139,666 | trades=540 | equity=$1,726.12 | ETA=8.3min
   39.0% | bar=54,602/139,666 | trades=540 | equity=$1,726.12 | ETA=8.3min
   39.0% | bar=54,606/139,666 | trades=540 | equity=$1,726.12 | ETA=8.3min
   39.0% | bar=54,610/139,666 | trades=540 | equity=$1,726.12 | ETA=8.3min
   39.4% | bar=55,118/139,666 | trades=550 | equity=$1,794.36 | ETA=8.3min
   39.4% | bar=55,122/139,666 | trades=550 | equity=$1,794.36 | ETA=8.3min
   39.4% | bar=55,134/139,666 | trades=550 | equity=$1,794.36 | ETA=8.3min
   39.4% | bar=55,138/139,666 | trades=550 | equity=$1,794.36 | ETA=8.3min
   39.4% | bar=55,146/139,666 | trades=550 | equity=$1,794.36 | ETA=8.3min
   40.0% | bar=56,046/139,666 | trades=560 | equity=$1,936.25 | ETA=8.2min
   40.5% | bar=56,742/139,666 | trades=570 | equity=$1,969.29 | ETA=8.1min
   41.0% | bar=57,450/139,666 | trades=580 | equity=$2,098.59 | ETA=8.0min
   41.5% | bar=58,174/139,666 | trades=590 | equity=$2,137.32 | ETA=7.9min
   41.6% | bar=58,178/139,666 | trades=590 | equity=$2,137.32 | ETA=7.9min
   42.3% | bar=59,186/139,666 | trades=600 | equity=$2,114.59 | ETA=7.9min
   42.3% | bar=59,190/139,666 | trades=600 | equity=$2,114.59 | ETA=7.9min
   42.3% | bar=59,194/139,666 | trades=600 | equity=$2,114.59 | ETA=7.9min
   42.3% | bar=59,198/139,666 | trades=600 | equity=$2,114.59 | ETA=7.9min
   42.9% | bar=60,094/139,666 | trades=610 | equity=$2,196.66 | ETA=7.8min
   43.3% | bar=60,566/139,666 | trades=620 | equity=$2,559.84 | ETA=7.7min
   43.9% | bar=61,446/139,666 | trades=630 | equity=$2,519.23 | ETA=7.6min
   43.9% | bar=61,450/139,666 | trades=630 | equity=$2,519.23 | ETA=7.6min
   43.9% | bar=61,454/139,666 | trades=630 | equity=$2,519.23 | ETA=7.6min
   43.9% | bar=61,458/139,666 | trades=630 | equity=$2,519.23 | ETA=7.6min
   44.5% | bar=62,286/139,666 | trades=640 | equity=$2,483.77 | ETA=7.6min
   44.5% | bar=62,290/139,666 | trades=640 | equity=$2,483.77 | ETA=7.6min
   45.3% | bar=63,426/139,666 | trades=650 | equity=$2,458.54 | ETA=7.5min
   45.3% | bar=63,430/139,666 | trades=650 | equity=$2,458.54 | ETA=7.5min
   45.3% | bar=63,434/139,666 | trades=650 | equity=$2,458.54 | ETA=7.5min
   45.7% | bar=63,994/139,666 | trades=660 | equity=$2,421.25 | ETA=7.4min
   45.7% | bar=63,998/139,666 | trades=660 | equity=$2,421.25 | ETA=7.4min
   45.7% | bar=64,002/139,666 | trades=660 | equity=$2,421.25 | ETA=7.4min
   46.3% | bar=64,802/139,666 | trades=670 | equity=$2,314.54 | ETA=7.3min
   47.3% | bar=66,142/139,666 | trades=680 | equity=$2,353.18 | ETA=7.2min
   47.8% | bar=66,870/139,666 | trades=690 | equity=$2,444.51 | ETA=7.1min
   48.3% | bar=67,554/139,666 | trades=700 | equity=$2,477.56 | ETA=7.0min
   48.9% | bar=68,414/139,666 | trades=710 | equity=$2,661.97 | ETA=7.0min
   50.0% | bar=69,890/139,666 | trades=720 | equity=$2,784.87 | ETA=6.9min
   50.6% | bar=70,826/139,666 | trades=730 | equity=$2,807.29 | ETA=6.8min
   50.6% | bar=70,830/139,666 | trades=730 | equity=$2,807.29 | ETA=6.8min
   50.6% | bar=70,842/139,666 | trades=730 | equity=$2,807.29 | ETA=6.8min
   51.2% | bar=71,622/139,666 | trades=740 | equity=$2,750.43 | ETA=6.7min
   51.2% | bar=71,626/139,666 | trades=740 | equity=$2,750.43 | ETA=6.7min
   51.2% | bar=71,630/139,666 | trades=740 | equity=$2,750.43 | ETA=6.7min
   51.3% | bar=71,798/139,666 | trades=740 | equity=$2,750.43 | ETA=6.7min
   51.9% | bar=72,642/139,666 | trades=750 | equity=$2,928.06 | ETA=6.6min
   52.4% | bar=73,238/139,666 | trades=760 | equity=$2,733.19 | ETA=6.5min
   53.2% | bar=74,354/139,666 | trades=770 | equity=$2,618.96 | ETA=6.4min
   53.8% | bar=75,314/139,666 | trades=780 | equity=$2,725.29 | ETA=6.3min
   53.8% | bar=75,318/139,666 | trades=780 | equity=$2,725.29 | ETA=6.3min
   53.8% | bar=75,322/139,666 | trades=780 | equity=$2,725.29 | ETA=6.3min
   54.4% | bar=76,082/139,666 | trades=790 | equity=$3,009.24 | ETA=6.2min
   55.1% | bar=77,078/139,666 | trades=800 | equity=$3,050.37 | ETA=6.2min
   55.7% | bar=77,894/139,666 | trades=810 | equity=$2,931.95 | ETA=6.1min
   55.7% | bar=77,910/139,666 | trades=810 | equity=$2,931.95 | ETA=6.1min
   56.7% | bar=79,338/139,666 | trades=820 | equity=$2,989.71 | ETA=6.0min
   56.7% | bar=79,366/139,666 | trades=820 | equity=$2,989.71 | ETA=6.0min
   56.8% | bar=79,370/139,666 | trades=820 | equity=$2,989.71 | ETA=6.0min
   56.8% | bar=79,374/139,666 | trades=820 | equity=$2,989.71 | ETA=6.0min
   57.4% | bar=80,330/139,666 | trades=830 | equity=$3,094.78 | ETA=5.9min
   58.0% | bar=81,106/139,666 | trades=840 | equity=$3,046.01 | ETA=5.8min
   58.0% | bar=81,154/139,666 | trades=840 | equity=$3,046.01 | ETA=5.8min
   58.4% | bar=81,710/139,666 | trades=850 | equity=$2,838.25 | ETA=5.8min
   58.4% | bar=81,714/139,666 | trades=850 | equity=$2,838.25 | ETA=5.8min
   58.8% | bar=82,286/139,666 | trades=860 | equity=$2,882.02 | ETA=5.7min
   59.4% | bar=83,070/139,666 | trades=870 | equity=$2,828.58 | ETA=5.6min
   60.1% | bar=83,990/139,666 | trades=880 | equity=$2,939.22 | ETA=5.5min
   60.6% | bar=84,674/139,666 | trades=890 | equity=$2,975.95 | ETA=5.5min
   60.6% | bar=84,678/139,666 | trades=890 | equity=$2,975.95 | ETA=5.5min
   60.6% | bar=84,682/139,666 | trades=890 | equity=$2,975.95 | ETA=5.5min
   60.6% | bar=84,686/139,666 | trades=890 | equity=$2,975.95 | ETA=5.5min
   61.4% | bar=85,818/139,666 | trades=900 | equity=$2,772.44 | ETA=5.4min
   61.4% | bar=85,822/139,666 | trades=900 | equity=$2,772.44 | ETA=5.4min
   61.9% | bar=86,494/139,666 | trades=910 | equity=$2,723.88 | ETA=5.3min
   61.9% | bar=86,498/139,666 | trades=910 | equity=$2,723.88 | ETA=5.3min
   61.9% | bar=86,510/139,666 | trades=910 | equity=$2,723.88 | ETA=5.3min
   61.9% | bar=86,514/139,666 | trades=910 | equity=$2,723.88 | ETA=5.3min
   61.9% | bar=86,518/139,666 | trades=910 | equity=$2,723.88 | ETA=5.3min
   62.5% | bar=87,446/139,666 | trades=920 | equity=$2,848.94 | ETA=5.2min
   62.5% | bar=87,454/139,666 | trades=920 | equity=$2,848.94 | ETA=5.2min
   62.6% | bar=87,530/139,666 | trades=920 | equity=$2,848.94 | ETA=5.2min
   63.0% | bar=88,102/139,666 | trades=930 | equity=$3,136.24 | ETA=5.1min
   63.0% | bar=88,106/139,666 | trades=930 | equity=$3,136.24 | ETA=5.1min
   63.0% | bar=88,110/139,666 | trades=930 | equity=$3,136.24 | ETA=5.1min
   63.0% | bar=88,114/139,666 | trades=930 | equity=$3,136.24 | ETA=5.1min
   63.5% | bar=88,782/139,666 | trades=940 | equity=$3,003.03 | ETA=5.1min
   64.1% | bar=89,574/139,666 | trades=950 | equity=$3,039.60 | ETA=5.0min
   64.7% | bar=90,446/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.7% | bar=90,450/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.7% | bar=90,454/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.7% | bar=90,458/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.7% | bar=90,462/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.7% | bar=90,502/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.7% | bar=90,510/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.8% | bar=90,534/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.8% | bar=90,546/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.8% | bar=90,610/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.8% | bar=90,614/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.8% | bar=90,618/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.9% | bar=90,762/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.9% | bar=90,766/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   64.9% | bar=90,770/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   65.0% | bar=90,866/139,666 | trades=960 | equity=$3,086.36 | ETA=4.9min
   65.8% | bar=91,934/139,666 | trades=970 | equity=$3,136.24 | ETA=4.8min
   66.5% | bar=92,986/139,666 | trades=980 | equity=$3,380.15 | ETA=4.7min
   68.0% | bar=95,118/139,666 | trades=990 | equity=$3,340.50 | ETA=4.4min
   68.6% | bar=95,954/139,666 | trades=1000 | equity=$3,460.97 | ETA=4.3min
   68.7% | bar=95,982/139,666 | trades=1000 | equity=$3,460.97 | ETA=4.3min
   69.3% | bar=96,818/139,666 | trades=1010 | equity=$3,700.48 | ETA=4.2min
   69.3% | bar=96,930/139,666 | trades=1010 | equity=$3,700.48 | ETA=4.2min
   69.7% | bar=97,434/139,666 | trades=1020 | equity=$3,656.26 | ETA=4.2min
   69.7% | bar=97,438/139,666 | trades=1020 | equity=$3,656.26 | ETA=4.2min
   69.7% | bar=97,442/139,666 | trades=1020 | equity=$3,656.26 | ETA=4.2min
   69.8% | bar=97,514/139,666 | trades=1020 | equity=$3,656.26 | ETA=4.2min
   70.1% | bar=98,050/139,666 | trades=1030 | equity=$3,907.60 | ETA=4.1min
   70.8% | bar=98,962/139,666 | trades=1040 | equity=$3,968.56 | ETA=4.0min
   71.4% | bar=99,742/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,750/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,754/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,762/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,766/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,770/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,778/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,798/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,802/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,806/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.4% | bar=99,810/139,666 | trades=1050 | equity=$4,017.97 | ETA=3.9min
   71.9% | bar=100,538/139,666 | trades=1060 | equity=$4,598.02 | ETA=3.9min
   71.9% | bar=100,542/139,666 | trades=1060 | equity=$4,598.02 | ETA=3.9min
   71.9% | bar=100,550/139,666 | trades=1060 | equity=$4,598.02 | ETA=3.9min
   72.2% | bar=100,950/139,666 | trades=1070 | equity=$4,952.54 | ETA=3.8min
   72.2% | bar=100,954/139,666 | trades=1070 | equity=$4,952.54 | ETA=3.8min
   72.2% | bar=100,958/139,666 | trades=1070 | equity=$4,952.54 | ETA=3.8min
   72.8% | bar=101,690/139,666 | trades=1080 | equity=$5,337.25 | ETA=3.8min
   73.4% | bar=102,642/139,666 | trades=1090 | equity=$5,112.80 | ETA=3.7min
   74.0% | bar=103,406/139,666 | trades=1100 | equity=$5,514.36 | ETA=3.6min
   74.5% | bar=104,158/139,666 | trades=1110 | equity=$5,278.72 | ETA=3.5min
   74.5% | bar=104,170/139,666 | trades=1110 | equity=$5,278.72 | ETA=3.5min
   74.5% | bar=104,182/139,666 | trades=1110 | equity=$5,278.72 | ETA=3.5min
   75.1% | bar=105,006/139,666 | trades=1120 | equity=$5,199.62 | ETA=3.4min
   75.2% | bar=105,062/139,666 | trades=1120 | equity=$5,199.62 | ETA=3.4min
   75.9% | bar=106,122/139,666 | trades=1130 | equity=$5,300.25 | ETA=3.3min
   75.9% | bar=106,126/139,666 | trades=1130 | equity=$5,300.25 | ETA=3.3min
   76.4% | bar=106,742/139,666 | trades=1140 | equity=$5,718.38 | ETA=3.3min
   77.0% | bar=107,590/139,666 | trades=1150 | equity=$5,968.36 | ETA=3.2min
   77.0% | bar=107,594/139,666 | trades=1150 | equity=$5,968.36 | ETA=3.2min
   77.5% | bar=108,266/139,666 | trades=1160 | equity=$5,871.07 | ETA=3.1min
   78.2% | bar=109,342/139,666 | trades=1170 | equity=$5,921.18 | ETA=3.0min
   78.8% | bar=110,086/139,666 | trades=1180 | equity=$5,498.60 | ETA=3.0min
